TYPE,N°,SIGLE,DESIGNATION
FORMATION POLITIQUE,1,ARD,Alliance pour la République et la Démocratie
FORMATION POLITIQUE,2,UREFA,Union des Révolutionnaires pour le Faso
PARTI POLITIQUE,1,3P,Parti des Patriotes Panafricanistes
PARTI POLITIQUE,2,A.D.F/R.D.A,Alliance pour la Démocratie et la Fédération / Rassemblement Démocratique Africain
PARTI POLITIQUE,3,A.DE.FA,Alliance pour la Démocratie du Faso
PARTI POLITIQUE,4,A.F.P,Alliance des Forces Progressistes
PARTI POLITIQUE,5,A.J.I.R,Alliance des Jeunes pour l’Indépendance et République
PARTI POLITIQUE,6,A.R.D.I,"Alliance pour la Renaissance, la Démocratie et l’Intégration"
PARTI POLITIQUE,7,Burkina Yirwa,Burkina Yirwa
PARTI POLITIQUE,8,C.D.P,Congrès pour la Démocratie et le Progrès
PARTI POLITIQUE,9,C.N.C,Conseil National pour le Changement
PARTI POLITIQUE,10,CADEauF,"Convention pour l’Alternance, la Démocratie et l’Egalité au Faso"
PARTI POLITIQUE,11,CED,Convergence pour l’Emergence et le Développement
PARTI POLITIQUE,12,CO.P.AC,Conseil du Peuple pour l’Action
PARTI POLITIQUE,13,CO.R.P,Coalition pour la République-Parti Progressiste
PARTI POLITIQUE,14,CPR/MP,Convergence Patriotique pour la Renaissance/Mouvement Progressiste
PARTI POLITIQUE,15,F.F.S.,Front des Forces Sociales
PARTI POLITIQUE,16,FP,Front Progressiste
PARTI POLITIQUE,17,L’Autre Burkina/P.S.R,L’Autre Burkina / Parti pour le Socialisme et la Refondation
PARTI POLITIQUE,18,Le Faso Autrement,Le Faso Autrement
PARTI POLITIQUE,19,M.A.C.EN.POL,Mouvement d’Action Culturelle pour l’Ennoblissement de la Politique
PARTI POLITIQUE,20,M.A.P,Mouvement Africain des Peuples
PARTI POLITIQUE,21,M.D.A,Mouvement pour la Démocratie en Afrique
PARTI POLITIQUE,22,M.D.D,Mouvement pour la Démocratie et le Développement
PARTI POLITIQUE,23,M.D.R,Mouvement pour la Démocratie et la Renaissance
PARTI POLITIQUE,24,M.P.B,Mouvement Patriotique du Burkina
PARTI POLITIQUE,25,M.P.C,Mouvement pour le Progrès et le Changement
PARTI POLITIQUE,26,M.P.D,Mouvement du Peuple pour la Démocratie
PARTI POLITIQUE,27,M.P.F,Mouvement Panafricain du Faso
PARTI POLITIQUE,28,M.P.P,Mouvement du Peuple pour le Progrès
PARTI POLITIQUE,29,MPR/B,Mouvement Patriotique pour le Renouveau du Burkina
PARTI POLITIQUE,30,N.D.S,Nouvelle Démocratie Sociale
PARTI POLITIQUE,31,N.I.D,Nouvelle Initiative Démocratique
PARTI POLITIQUE,32,NAFA,Nouvelle Alliance du Faso
PARTI POLITIQUE,33,NTD,Nouveau Temps pour la Démocratie
PARTI POLITIQUE,34,O.D.T,Organisation pour la Démocratie et le Travail
PARTI POLITIQUE,35,ODP,Organisation pour la Démocratie et le Travail
PARTI POLITIQUE,36,P.C.D.P,Parti Centriste pour la Démocratie et le Progrès
PARTI POLITIQUE,37,P.D.C,Parti pour le Développement et le Changement
PARTI POLITIQUE,38,P.D.P/P.S,Parti pour la Démocratie et le Progrès/Parti Socialiste
PARTI POLITIQUE,39,P.D.S/METBA,Parti pour la Démocratie et le Socialisme/Parti des Bâtisseurs
PARTI POLITIQUE,40,P.E.D.N,Parti Ecologiste pour un Développement Nouveau
PARTI POLITIQUE,41,P.F,Parti Fasocrate
PARTI POLITIQUE,42,P.N.D.P,Parti National pour le Développement et la Paix
PARTI POLITIQUE,43,P.N.D.S,Parti National des Démocrates Sociaux
PARTI POLITIQUE,44,P.P.D,Parti Patriotique pour le Développement
PARTI POLITIQUE,45,P.P.E/C.N,Parti pour la Protection de l’Environnement/Conservation de la Nature
PARTI POLITIQUE,46,P.P.L.B,Parti pour le Progrès et la Liberté du Burkina
PARTI POLITIQUE,47,P.P.P,Parti des Patriotes Progressistes
PARTI POLITIQUE,48,P.P.R.N,Parti du Progrès pour le Renouveau National
PARTI POLITIQUE,49,P.R.D.F,Parti pour la Renaissance de la Démocratie au Faso
PARTI POLITIQUE,50,P.R.I.T-LANNAYA,Parti Républicain pour l’Indépendance Totale
PARTI POLITIQUE,51,P.S.U,Parti Socialiste Unifié
PARTI POLITIQUE,52,P.U.N.D,Parti pour l’Unité Nationale et le Développement
PARTI POLITIQUE,53,PA.R.I.S,Parti Républicain pour l’Intégration et la Solidarité
PARTI POLITIQUE,54,PA.RE.N,Parti de la Renaissance Nationale
PARTI POLITIQUE,55,PBL,Parti Burkina Laafia
