No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Party Code,Political Party Name,Abbrv,Gender
1,GATHURA,PETER NJOROGE,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,27,JUBILEE PARTY,JP,Male
2,JOHN,OUCHO ABURA,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,IND,INDEPENDENT,IND,Male
3,JUBA,AHMED KIBWANA,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,Male
4,KITHOME,RICHARD KIMANZI,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,67,MAENDELEO CHAP CHAP PARTY,MCCP,Male
5,LIECH,VITALICE ABONGO,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,62,AMANI NATIONAL CONGRESS,ANC,Male
6,Makarani,Fadhili Mwalimu,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,21,ORANGE DEMOCRATIC MOVEMENT,ODM,Male
7,MASIAH,ERICK KAVAI,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,Male
8,OJAL,PATRICK OTIENO,1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,60,VIBRANT DEMOCRATIC PARTY,VDP,Male
9,ABDI,HARUN HASSAN,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,27,JUBILEE PARTY,JP,Male
10,BONIFACE,FAITH MWENDE,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,Female
11,KONDO,IBRAHIM ABDALLA,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,21,ORANGE DEMOCRATIC MOVEMENT,ODM,Male
12,MBAYA,KHAMISI JUMA,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,IND,INDEPENDENT,IND,Male
13,MUTILI,BENJAMIN MULANDI,1,MOMBASA,1,CHANGAMWE,2,KIPEVU,IND,INDEPENDENT,IND,Male
14,KINGADA,KEVIN KEEGAN,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,58,REPUBLICAN LIBERTY PARTY,RLP,Male
15,MOHAMED,AL-HAJJ OMAR BADI,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,Male
16,MULATYA,PHILIP WAMBUA,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,67,MAENDELEO CHAP CHAP PARTY,MCCP,Male
17,OMONDI,IBRAHIM OYUGI,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,21,ORANGE DEMOCRATIC MOVEMENT,ODM,Male
18,OPATA,JACKSON OKWAYO,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,Male
19,SHALI,HASSAN MOHAMMED,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,27,JUBILEE PARTY,JP,Male
20,TEBO,CHARLES OWUOR RAPUL,1,MOMBASA,1,CHANGAMWE,3,AIRPORT,IND,INDEPENDENT,IND,Male
