No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
1,ABDALLA,AMINA,1,MOMBASA,27,JUBILEE PARTY,JP
2,LUBALO,ELIZABETH LYDIA,1,MOMBASA,IND,INDEPENDENT,IND
3,MAKAU,SERAH MWIKALI,1,MOMBASA,60,VIBRANT DEMOCRATIC PARTY,VDP
4,MAWEU,MERCY MBITHE,1,MOMBASA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
5,MOHAMED,ASHA HUSSEIN,1,MOMBASA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
6,MOHAMED,ZAMZAM CHIMBA,1,MOMBASA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
7,MOHAMMED,HALIMA ANWAR,1,MOMBASA,67,MAENDELEO CHAP CHAP PARTY,MCCP
8,MUHSIN,KHADIJA ABDALLA,1,MOMBASA,IND,INDEPENDENT,IND
9,OBURA,ZIPPORAH TABU,1,MOMBASA,62,AMANI NATIONAL CONGRESS,ANC
10,RAMA,AFIYA MKUWEWA,1,MOMBASA,IND,INDEPENDENT,IND
11,CHIDZUGA,ZAINAB KALEKYE,2,KWALE,27,JUBILEE PARTY,JP
12,HASSAN,ZULEIKHA JU MA,2,KWALE,21,ORANGE DEMOCRATIC MOVEMENT,ODM
13,MBURU,ANN WANJIKO,2,KWALE,67,MAENDELEO CHAP CHAP PARTY,MCCP
14,MWAPHEKU,MWANALIMA,2,KWALE,33,KENYA AFRICAN NATIONAL UNION,KANU
15,TABWARA,FATUMA SULEIMAN,2,KWALE,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
16,ATHMAN,UMMI KULTHUM AMIN,3,KILIFI,IND,INDEPENDENT,IND
17,BAYA,JULIET RIZIKI,3,KILIFI,IND,INDEPENDENT,IND
18,BEBORA,JOSEPHINE CHIZI,3,KILIFI,33,KENYA AFRICAN NATIONAL UNION,KANU
19,CHARO,GERTRUDE BAHATI,3,KILIFI,49,FEDERAL PARTY OF KENYA,FPK
20,KAMBI,WITNESS NYEVU,3,KILIFI,30,KENYA AFRICAN DEMOCRATIC UNION- ASILI,KADU- ASILI
21,KITSAO,BETTY MEDZA MUNGA,3,KILIFI,IND,INDEPENDENT,IND
22,MNYAZI,AMINA LAURA,3,KILIFI,27,JUBILEE PARTY,JP
23,MUNGAH,PRISCILLAR NZIKWA,3,KILIFI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
24,MWANYANJE,GERTRUDE MBEYU,3,KILIFI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
25,ABDULLAHI,AMINA NURIA,4,TANA RIVER,33,KENYA AFRICAN NATIONAL UNION,KANU
26,ABIO,ALFELT MUMBO,4,TANA RIVER,21,ORANGE DEMOCRATIC MOVEMENT,ODM
27,DURI,HALIMA WARE,4,TANA RIVER,27,JUBILEE PARTY,JP
28,HADIDA,MELISA NKONDO,4,TANA RIVER,62,AMANI NATIONAL CONGRESS,ANC
29,HASSAN,REHEMA,4,TANA RIVER,67,MAENDELEO CHAP CHAP PARTY,MCCP
30,HUSSEIN,SADIA SANGO,4,TANA RIVER,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
31,JELLE,MARYANROON MOHAMED,4,TANA RIVER,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
32,KORO,SADDIA HALIMA,4,TANA RIVER,1,NATIONAL RAINBOW COALITION- KENYA,NARC- KENYA
33,MOHAMED,RUKIA ABDI,4,TANA RIVER,31,KENYA PATRIOTS PARTY,KPP
34,SOBA,ZAMZAM ZAINAB,4,TANA RIVER,10,MAZINGIRA GREENS PARTY OF KENYA,MGPK
35,ABDALLA,ESHA NIZAR,5,LAMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
36,ABDALLA,MARIYAM ABUBAKAR,5,LAMU,67,MAENDELEO CHAP CHAP PARTY,MCCP
37,MARUBU,MONICAH MUTHONI,5,LAMU,IND,INDEPENDENT,IND
38,MOHAMED,SHAKILA ABDALLA,5,LAMU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
39,OBO,RUWEIDA MOHAMED,5,LAMU,27,JUBILEE PARTY,JP
40,KISOCHI,ROSINA MGHOI,6,TAITA TAVETA,32,SOCIAL DEMOCRATIC PARTY OF KENYA,SDP
41,MIZIGHI,LYDIA HAIKA MNENE,6,TAITA TAVETA,27,JUBILEE PARTY,JP
42,MWADIME,PRICILAR,6,TAITA TAVETA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
43,MWAKIO,HOPE ANISA SANGULI,6,TAITA TAVETA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
44,ABASS,FATUMA KINSI,7,GARISSA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
45,ABDIKADIR,MARYAN SHEIKH,7,GARISSA,76,THIRDWAY ALLIANCE KENYA,TAK
46,GURE,ANAB MOHAMED,7,GARISSA,27,JUBILEE PARTY,JP
47,GURE,SHUKRA HUSSEIN,7,GARISSA,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
48,KEINAN,AMINA MOHAMED,7,GARISSA,33,KENYA AFRICAN NATIONAL UNION,KANU
49,SAHAL,EBLA EUROPE,7,GARISSA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
50,ALI,FATUMA GEDI,8,WAJIR,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
51,BULLE,BAREY DIIS,8,WAJIR,21,ORANGE DEMOCRATIC MOVEMENT,ODM
52,HAJI,KATRA MOWLID,8,WAJIR,31,KENYA PATRIOTS PARTY,KPP
53,HUSSEIN,ORAY ADAN,8,WAJIR,33,KENYA AFRICAN NATIONAL UNION,KANU
54,KAHIYE,UBAH ABDI,8,WAJIR,76,THIRDWAY ALLIANCE KENYA,TAK
55,MAALIM,FARHIYA ABDILLE,8,WAJIR,49,FEDERAL PARTY OF KENYA,FPK
56,MOHAMUD,HALIMA ABDILLE,8,WAJIR,27,JUBILEE PARTY,JP
57,OMAR,HALIMA ALI,8,WAJIR,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD- KENYA
58,AHMED,AMINA HASSAN,9,MANDERA,15,PARTY FOR DEVELOPMENT AND REFORM,PDR
59,HASSAN,AMINA GEDOW,9,MANDERA,48,ECONOMIC FREEDOM PARTY,EFP
60,ISSAK,ETHILA MOHAMUD,9,MANDERA,27,JUBILEE PARTY,JP
61,ABDI,FARHIYA YAROW,10,MARSABIT,13,DEMOCRATIC PARTY OF KENYA,DP
62,ADAN,SAFIA SHEIKH,10,MARSABIT,27,JUBILEE PARTY,JP
63,HALAKE,AMINA GUYO,10,MARSABIT,21,ORANGE DEMOCRATIC MOVEMENT,ODM
64,IBREN,NASRA IBRAHIM,10,MARSABIT,46,FRONTIER ALLIANCE PARTY,FAP
65,PANTOREN,ELIZABETH PIUS,10,MARSABIT,33,KENYA AFRICAN NATIONAL UNION,KANU
66,SEYERE,CHRISTINE KOREYA,10,MARSABIT,67,MAENDELEO CHAP CHAP PARTY,MCCP
67,SHAMA,BERNADETTA OKOTU,10,MARSABIT,14,PARTY OF NATIONAL UNITY,PNU
68,ABDIRAHMAN,NASIBO HAWA,11,ISIOLO,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
69,ALI,TIYAH GALGALO,11,ISIOLO,IND,INDEPENDENT,IND
70,JALDESA,REHEMA DIDA,11,ISIOLO,27,JUBILEE PARTY,JP
71,THAMBU,BETSY KAARI,11,ISIOLO,14,PARTY OF NATIONAL UNITY,PNU
72,ISAIAH,CATHERINE KAGWIRIA,12,MERU,67,MAENDELEO CHAP CHAP PARTY,MCCP
73,KAILEMIA,ELIZABETH KARAMBU,12,MERU,14,PARTY OF NATIONAL UNITY,PNU
74,KAJUJU,FLORENCE,12,MERU,27,JUBILEE PARTY,JP
75,KINYA,BETSY,12,MERU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
76,KINYUA,SUSAN K M,12,MERU,33,KENYA AFRICAN NATIONAL UNION,KANU
77,MWANGAZA,KAWIRA,12,MERU,IND,INDEPENDENT,IND
78,KAMBANJA,PENINA NKAMBA MURUNGI,13,THARAKA - NITHI,IND,INDEPENDENT,IND
79,KAUNE,FLORIC KAGENI,13,THARAKA - NITHI,2,THE NATIONAL VISION PARTY,NVP
80,KITHINJI,SARAH KARIMI,13,THARAKA - NITHI,21,ORANGE DEMOCRATIC MOVEMENT,ODM
81,MBUNGU,TABITHA MAUGI,13,THARAKA - NITHI,67,MAENDELEO CHAP CHAP PARTY,MCCP
82,NYAGA,BEATRICE NKATHA,13,THARAKA - NITHI,27,JUBILEE PARTY,JP
83,GITARI,MONICA CYOMBUA,14,EMBU,IND,INDEPENDENT,IND
84,GRACE,VIOLET MUKAMI,14,EMBU,17,AGANO PARTY,AGANO
85,KALELI,RISPER KILUU,14,EMBU,IND,INDEPENDENT,IND
86,MITARU,ROSE RWAMBA,14,EMBU,IND,INDEPENDENT,IND
87,MUCHUNGU,DOROTHY NDITI,14,EMBU,67,MAENDELEO CHAP CHAP PARTY,MCCP
88,MUGO,NICERA NJOKI,14,EMBU,IND,INDEPENDENT,IND
89,MUTUA,MARY NDUNGE,14,EMBU,21,ORANGE DEMOCRATIC MOVEMENT,ODM
90,NJERU,SOPHIA MUTHONI,14,EMBU,14,PARTY OF NATIONAL UNITY,PNU
91,NJIRU,JANE WANJUKI,14,EMBU,27,JUBILEE PARTY,JP
92,NTHIGA,ROSEMARY WANJA,14,EMBU,IND,INDEPENDENT,IND
93,NYAGA,SUSAN MBUYA,14,EMBU,33,KENYA AFRICAN NATIONAL UNION,KANU
94,WAMBURA,JOSEPHINE,14,EMBU,13,DEMOCRATIC PARTY OF KENYA,DP
95,KASALU,IRENE MUTHONI,15,KITUI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
96,KHAMISI,SOFIA,15,KITUI,27,JUBILEE PARTY,JP
97,KIBATI,JANE MWENDE KIMUYU,15,KITUI,IND,INDEPENDENT,IND
98,MUTHENGI,HALIMA MBATHI,15,KITUI,73,ALTERNATIVE LEADERSHIP PARTY OF KENYA,ALPK
99,MWANZIA,NELLIE ITHAE,15,KITUI,67,MAENDELEO CHAP CHAP PARTY,MCCP
100,MUTHAMA,AGNES KAVINDU MBUKU,16,MACHAKOS,27,JUBILEE PARTY,JP
101,KAMENE,JOYCE,16,MACHAKOS,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
102,MAURA,BENTA ANYANGO,16,MACHAKOS,17,AGANO PARTY,AGANO
103,MUSYOKA,SUSAN MBINYA,16,MACHAKOS,IND,INDEPENDENT,IND
104,MUSYOKI,VICTORIA NDUNGE,16,MACHAKOS,33,KENYA AFRICAN NATIONAL UNION,KANU
105,MUTINDA,FRANCISCA,16,MACHAKOS,67,MAENDELEO CHAP CHAP PARTY,MCCP
106,NDETI,JANE MUTILE COSMAS,16,MACHAKOS,36,CHAMA CHA UZALENDO,CCU
107,NDUNDA,RITAH NDUNGE,16,MACHAKOS,IND,INDEPENDENT,IND
108,KIHUMBA,JACINTA WANZA,17,MAKUENI,40,NEW DEMOCRATS,ND
109,KITUNDU,JANE WAVINYA MAINGI,17,MAKUENI,3,THE LABOUR PARTY OF KENYA,LPK
110,KYALO,EUNICE MUNANIE,17,MAKUENI,27,JUBILEE PARTY,JP
111,MULEI,MARGARET MUMBUA,17,MAKUENI,7,PARTY OF INDEPENDENT CANDIDATES OF KENYA,PICK
112,MUMO,ROSE MUSEO,17,MAKUENI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K
113,MWEWA,GRACE MUENI FRANCIS,17,MAKUENI,29,NATIONAL RAINBOW COALITION,NARC
114,NZIOKA,MAUREEN WAVINYA,17,MAKUENI,33,KENYA AFRICAN NATIONAL UNION,KANU
115,GITAU,FAITH WAIRIMU,18,NYANDARUA,27,JUBILEE PARTY,JP
116,MAINA,ESTHER WAMBUI,18,NYANDARUA,IND,INDEPENDENT,IND
117,MUCHEKE,MONICAH NYAMBURA,18,NYANDARUA,67,MAENDELEO CHAP CHAP PARTY,MCCP
118,GACHIMU,JOYCE NJOKI,19,NYERI,65,DILIGENCE DEVELOPMENT ALLIANCE,DDA
119,KANYUA,PRISCILLA NYOKABI,19,NYERI,IND,INDEPENDENT,IND
120,MWANGI,ALICE WANGARI,19,NYERI,67,MAENDELEO CHAP CHAP PARTY,MCCP
121,MWATHE,JANE SUSAN GATHII,19,NYERI,1,NATIONAL RAINBOW COALITION- KENYA,NARC- KENYA
122,NDUNGU,CECILIA WANGECHI,19,NYERI,14,PARTY OF NATIONAL UNITY,PNU
123,WACHIRA,RAHAB MUKAMI,19,NYERI,27,JUBILEE PARTY,JP
124,NGIRICI,PURITY WANGUI,20,KIRINYAGA,27,JUBILEE PARTY,JP
125,NGUNYI,BETH WAMBURA,20,KIRINYAGA,IND,INDEPENDENT,IND
126,NJUGUNA,WINNIE KARIMI,20,KIRINYAGA,IND,INDEPENDENT,IND
127,CHEGE,MAITU SABINA WANJIRU,21,MURANG'A,27,JUBILEE PARTY,JP
128,NYOIKE,EVELYN WAITHIRA,21,MURANG'A,IND,INDEPENDENT,IND
129,CHEGE,JANE WANJIRU,22,KIAMBU,IND,INDEPENDENT,IND
130,NDUNG'U,LYDIA NJERI,22,KIAMBU,17,AGANO PARTY,AGANO
131,WAMUCHOMBA,GATHONI,22,KIAMBU,27,JUBILEE PARTY,JP
132,WANDIA,JOYCE WANJIRU,22,KIAMBU,14,PARTY OF NATIONAL UNITY,PNU
133,ABENYO,JECINTA NGASIKE,23,TURKANA,IND,INDEPENDENT,IND
134,EMANIKOR,JOYCE AKAI,23,TURKANA,27,JUBILEE PARTY,JP
135,LOKURUKA,PAULINE AKAI,23,TURKANA,21,ORANGE DEMOCRATIC MOVEMENT,ODM
136,LOYOR,RHODA ARUPE,23,TURKANA,IND,INDEPENDENT,IND
137,NAKUSA,BEATRICE ASUKUL,23,TURKANA,54,CHAMA CHA MASHINANI,CCM
138,NAMULEN,CICILIA NANGETEI,23,TURKANA,67,MAENDELEO CHAP CHAP PARTY,MCCP
139,CHANG'OROK,REGINA,24,WEST POKOT,54,CHAMA CHA MASHINANI,CCM
140,CHONGORIO,NIGHT CHEROP,24,WEST POKOT,IND,INDEPENDENT,IND
141,CLEMENT,BRIDGID FLORENCE,24,WEST POKOT,62,AMANI NATIONAL CONGRESS,ANC
142,LOKICHU,TERESA PETER,24,WEST POKOT,14,PARTY OF NATIONAL UNITY,PNU
143,MUKENYANG,CATHERINE CHEPKEMOI,24,WEST POKOT,33,KENYA AFRICAN NATIONAL UNION,KANU
144,PARTANY,EMILY CHESANG,24,WEST POKOT,2,THE NATIONAL VISION PARTY,NVP
145,PLAPAN,LILIAN JANICE,24,WEST POKOT,21,ORANGE DEMOCRATIC MOVEMENT,ODM
146,RIKIRIKO,MARY,24,WEST POKOT,67,MAENDELEO CHAP CHAP PARTY,MCCP
